Lat,Long,h_tx_asl,h_rx_asl,delta_h_tx_rx,d_2d,d_3d,freq,avg_building_heigth,avg_vegetation_heigth,avg_ground_heigth,building_depth_2d,building_depth_3d,n_building,vegetation_depth_2d,vegetation_depth_3d,n_vegetation,avg_diffracted_comp,std_building,std_vegetation,std_ground,pl
-22.98822024,-43.22831274,71,9.59646225,61.40353775,127.5250838,141.53813,2500,17.469,12.699,17.248,17,18.8827,3,4,4.443,2,35.649,17.476,19.541,12.728,95.567154
-22.98823153,-43.2283033,71,9.59497261,61.40502739,127.0683572,141.12741,2500,17.436,12.818,17.269,16,17.7721,3,4,4.44302,2,36.024,17.358,19.513,12.743,101.69816
-22.98824847,-43.22828915,71,9.679143906,61.32085609,126.4173871,140.50482,2500,18.35,12.037,17.332,17,18.9063,2,4,4.44855,2,35.545,17.349,19.21,12.793,96.189156
-22.98827104,-43.22827027,71,9.734264374,61.26573563,125.6140969,139.75833,2500,18.849,11.837,17.376,18,20.0458,2,6,6.68192,2,37.245,17.244,19.244,12.848,107.01715
-22.98829362,-43.2282514,71,9.731285095,61.2687149,124.8860152,139.10562,2500,19.376,11.718,17.463,16,17.8465,1,9,10.0387,1,36.91,17.301,19.52,12.896,97.724152
-22.98832184,-43.22822781,71,9.872066498,61.1279335,124.0836786,138.32347,2500,19.308,11.706,17.547,18,20.0683,2,8,8.91925,1,36.957,18.178,18.909,12.951,94.190155
-22.98834442,-43.22820894,71,9.591497421,61.40850258,123.5294778,137.9512,2500,19.611,11.119,17.609,25,27.9425,2,5,5.58851,1,31.718,17.769,18.93,12.992,88.558151
-22.98836136,-43.22819478,71,9.40688324,61.59311676,123.1656696,137.70801,2500,20.083,10.091,17.686,25,27.9593,1,0,0,0,36.352,17.368,19.309,13.061,96.432152
-22.98837829,-43.22818063,71,9.308097839,61.69190216,122.8467408,137.46713,2500,19.545,10.553,17.733,23,25.7734,2,0,0,0,37.452,17.68,19.276,13.102,96.631157
-22.98839522,-43.22816647,71,9.232322693,61.76767731,122.5730417,137.25668,2500,20.461,9.5427,17.79,22,24.659,1,0,0,0,38.411,17.3,19.025,13.169,101.74216
-22.98840087,-43.22816175,71,9.116161346,61.88383865,122.4919136,137.23659,2500,19.569,10.526,17.789,23,25.7897,1,0,0,0,38.372,17.222,19.516,13.153,97.793152
-22.98838958,-43.22817119,71,9.131313324,61.86868668,122.6592295,137.37912,2500,20.598,9.3415,17.762,22,24.6672,1,0,0,0,38.377,17.073,19.084,13.133,100.65015
-22.98837264,-43.22818535,71,9.228744507,61.77125549,122.9480412,137.59328,2500,19.894,10.484,17.711,23,25.7801,2,0,0,0,36.807,17.494,19.281,13.095,97.808151
-22.988367,-43.22819006,71,9.486234665,61.51376534,123.0543552,137.57295,2500,19.589,10.774,17.707,25,27.9521,1,0,0,0,36.872,17.393,19.525,13.073,95.962158
-22.98835571,-43.2281995,71,9.578542709,61.42145729,123.281971,137.7354,2500,20.014,10.425,17.665,25,27.9437,1,0,0,0,36.395,17.439,19.319,13.04,97.134155
-22.98835007,-43.22820422,71,9.670850754,61.32914925,123.4032453,137.80284,2500,20.556,9.994,17.658,25,27.9353,2,1,1.11741,1,32.168,17.429,18.917,13.033,97.835152
-22.98848059,-43.22806404,71,8.874691963,62.12530804,124.4120518,139.06082,2500,14.436,10.672,17.871,3,3.35546,2,7,7.8294,1,37.625,15.004,19.332,13.443,81.002151
-22.9884863,-43.22803738,71,9.138672829,61.86132717,126.2224497,140.56647,2500,15.169,9.0827,17.755,0,0,0,1,1.11402,1,40.069,14.559,18.72,13.459,80.670151
-22.98848576,-43.22800881,71,9.450331688,61.54966831,128.6305523,142.59796,2500,16.002,7.845,17.576,0,0,0,0,0,0,40.225,13.323,19.028,13.434,77.222153
-22.98848059,-43.22797927,71,9.653839111,61.34616089,131.4345004,145.04613,2500,15.53,8.1932,17.428,0,0,0,0,0,0,40.327,12.778,19.417,13.423,83.169151
-22.98846706,-43.22794761,71,9.857345581,61.14265442,134.9550702,148.1597,2500,15.233,8.0111,17.16,0,0,0,0,0,0,40.429,12.758,19.237,13.374,81.261154
-22.98853825,-43.22791394,71,10.73127937,60.26872063,133.5675495,146.53535,2500,15.041,10.103,17.732,0,0,0,0,0,0,40.866,14.286,19.967,13.411,80.589157
